iter	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	Precision:class=0	Precision:class=1	Precision:class=2	Recall:class=0	Recall:class=1	Recall:class=2
0	0.950528315	0.9428571429	1	0.90625	0.9210526316	1	0.935483871	0.8974358974	1	0.8787878788	0.9459459459
1	0.8277919856	0.9428571429	1	0.90625	0.9210526316	1	0.935483871	0.8974358974	1	0.8787878788	0.9459459459
2	0.7411678022	0.9619047619	1	0.9393939394	0.9459459459	1	0.9393939394	0.9459459459	1	0.9393939394	0.9459459459
3	0.6587287916	0.9619047619	1	0.9393939394	0.9459459459	1	0.9393939394	0.9459459459	1	0.9393939394	0.9459459459
4	0.6127788082	0.9523809524	1	0.9253731343	0.9315068493	1	0.9117647059	0.9444444444	1	0.9393939394	0.9189189189
5	0.5575189951	0.9523809524	1	0.9253731343	0.9315068493	1	0.9117647059	0.9444444444	1	0.9393939394	0.9189189189
6	0.5026121394	0.9523809524	1	0.9253731343	0.9315068493	1	0.9117647059	0.9444444444	1	0.9393939394	0.9189189189
7	0.4613051305	0.9523809524	1	0.9253731343	0.9315068493	1	0.9117647059	0.9444444444	1	0.9393939394	0.9189189189
8	0.4267853399	0.9523809524	1	0.9253731343	0.9315068493	1	0.9117647059	0.9444444444	1	0.9393939394	0.9189189189
